Taxon	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
9c904302de3b94d72359e101aefe1026	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	0	0	0	0	0	0	0	891	0
377c64fc3dc94b80ddda5330b02d7bfb	d__Bacteria	0	0	317	0	0	0	0	549	0	0	0	0	0	0
36364cda1a7b6389d06555a8661da697	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria_563205	0	0	0	0	0	0	0	857	0	0	0	0	0	0
dae16d8d88a19739db727823d6294858	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae	35	214	0	0	55	292	0	0	0	159	53	18	0	0
5aab0eb6ec41a33bd894c90d0216a16f	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 sp000364605	27	0	0	0	780	0	0	0	0	0	0	17	0	0
a035d4d6eaf8f2922866d1e91931f583	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	774	0	0	0	0	0	0	0	0	0	0	0
6a588d63da83aa8bf2e4e13fbb427baa	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704	0	0	0	0	716	0	0	0	0	0	0	0	0	0
e4973ae2fd70d96b2ed62ec9620f78b3	d__Bacteria	0	0	0	0	0	686	0	0	0	0	0	0	0	0
ee32bb4023b4149659fe046149daf5f9	d__Bacteria; p__Chloroflexota; c__Dehalococcoidia	0	0	0	0	0	0	0	684	0	0	0	0	0	0
ecfe9eb75bf3cd8aa8df934d9e2e3704	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia mucilaginosa	0	0	0	0	0	0	0	672	0	0	0	0	0	0
bef958c90484c370c515ca1afa25c6a4	d__Bacteria	0	0	667	0	0	0	0	0	0	0	0	0	0	0
5c6ec01302e40187281404748e0e91a1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	665	0	0	0	0	0	0	0	0
89f9a6217b73420f5804ed62d8d73b00	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_O_486718; s__Sphingomonas_O_486718 paeninsulae	4	548	0	0	37	0	0	4	0	0	0	25	46	0
a704ec34e11c94c7f0a9ee891640851f	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus	0	0	0	0	0	0	0	654	0	0	0	0	0	0
ca3666c2eccc26ef306af8f58b13f67f	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 sp000364605	0	0	0	0	633	0	0	0	0	0	0	0	0	0
5ab5ab995fe79f936147e3ac70198389	d__Bacteria	0	0	0	0	0	0	0	614	0	0	0	0	0	0
c088e0ff7bf99e33f428f1190da74695	d__Bacteria	0	0	0	0	0	0	0	605	0	0	0	0	0	0
21d63043c762dfbaedd0bfc5a1caae98	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Jatrophihabitantaceae; g__Jatrophihabitans_A_372606; s__Jatrophihabitans_A_372606 soli	0	0	0	0	603	0	0	0	0	0	0	0	0	0
4d6e83b3becc388894a61d9e94f6f409	d__Bacteria	0	0	0	0	0	271	0	329	0	0	0	0	0	0
2af0996314fb49fc73c163aa11acfb30	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	499	0	0	101	0	0	0
3addfd49948b0cffe30de7933bc89dbc	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Bryobacteraceae; g__Palsa-187; s__	77	0	0	269	0	0	244	0	0	0	0	0	0	0
3f390547346d5f4ed455c9155fcde6d3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	587	0	0	0	0	0	0
7a3c80b91d73fd69a142ef8aa1c029d9	d__Bacteria	0	0	581	0	0	0	0	0	0	0	0	0	0	0
61b2143a8e41320e410c97bdacb90cc9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	575	0	0	0	0	0	0	0	0
31bb766decb33256c981be311cba6282	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium	39	418	0	0	45	0	0	0	0	0	0	24	43	0
c8a5442f99eed831e0d4976ea20de87b	d__Bacteria	0	0	0	0	0	566	0	0	0	0	0	0	0	0
241d19925d697acb862069162eaad530	d__Bacteria	0	0	0	0	0	560	0	0	0	0	0	0	0	0
a4a22fe1df4b192a73b360bf40a66e16	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	267	0	0	0	0	293	0
5d015bc63da585dfaad2a8b0bf02279a	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales	0	0	0	0	0	0	0	556	0	0	0	0	0	0
84f08d239a9421f0ba8ecb556dbbc7bf	d__Bacteria	0	0	0	0	0	0	0	554	0	0	0	0	0	0
d361802f73a6ca421745cebac395ffc9	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia mucilaginosa	0	0	0	0	0	0	0	552	0	0	0	0	0	0
80e3b8e7989801ffe088b1eaaaaab7d2	d__Bacteria	0	0	0	0	0	363	0	186	0	0	0	0	0	0
158d96f2781dbf6a51ebea8ffa385e7d	d__Bacteria	0	0	0	0	0	0	0	545	0	0	0	0	0	0
1264c4cb36091295cb5e2836db18e899	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Thiotrichales_608018; f__Thiotrichaceae_608018; g__Thiofilum; s__	0	0	0	0	0	0	0	0	0	0	0	0	540	0
b88451b0babd24eb93dab4b4e63b1995	d__Bacteria	0	0	0	0	0	0	0	527	0	0	0	0	0	0
3ff2c5e82b3ff9df6be3b976e79bc3fc	d__Bacteria	0	0	0	0	0	524	0	0	0	0	0	0	0	0
57be2c0bf3ba8fa509effef98c93083c	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	0	0	0	517	0	0	0	0	0	0	0	0	0
5c3e2621cd6ea78e61c830976880e83b	d__Bacteria	0	0	0	0	0	349	0	162	0	0	0	0	0	0
2664c85e90c17c6ee42c06ae33d04924	d__Bacteria	0	0	0	0	0	403	0	99	0	0	0	0	0	0
bdaf2fac58993844d2a226d01c549989	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	501	0	0	0	0	0	0
737bf7368a9969bdea4f1fd56634ad8f	d__Bacteria; p__Cyanobacteriota; c__Chloroplast; o__; f__; g__; s__	0	0	0	0	0	0	0	0	0	501	0	0	0	0
238d5885e4bc4845dd86b165852dcfa0	d__Bacteria; p__Cyanobacteriota; c__Chloroplast; o__; f__; g__; s__	0	0	0	0	494	0	0	0	0	0	0	0	0	0
48191f62e8dee939b00ea9d73a823859	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	493	0	0	0	0	0	0
4fb2578757c6a434713ea49a580c803e	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0	0	0	0	0	488	0	0	0	0	0	0	0	0
be832d7bc7e1005726b9d2a16c1012c1	d__Bacteria	0	0	479	0	0	0	0	0	0	0	0	0	0	0
fab057eba3a75c7caa8530302cb23fdb	d__Bacteria	0	0	0	0	0	0	0	478	0	0	0	0	0	0
489147e9d2ae8fd674f50d4e9bcb5756	d__Bacteria	0	0	0	0	0	0	0	478	0	0	0	0	0	0
9636aa335c8bfa4e8c3511f750776eed	d__Bacteria	0	0	0	0	0	0	0	473	0	0	0	0	0	0
f486ce5232ef0caf37242c0563e320f7	d__Bacteria	0	0	471	0	0	0	0	0	0	0	0	0	0	0
53250ebcdcd825e5e5a39310edbcdf77	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257; f__2-01-FULL-56-20; g__SURF-56; s__	0	0	0	471	0	0	0	0	0	0	0	0	0	0
d5c478480144f8ed0ae953287f728ad0	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T saccharoperbutylacetonicum	0	0	0	0	0	463	0	0	0	0	0	0	0	0
3cc03bf7d5a3d1fb1ccff16eab2985cd	d__Bacteria	0	0	0	0	0	462	0	0	0	0	0	0	0	0
79025f53e81d2046a59a819014ef184c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	39	59	234	0	0	0	0	0	0	65	0	63	0	0
52566635d95f65fad20f05dafdfb045b	d__Bacteria	0	0	0	0	0	459	0	0	0	0	0	0	0	0
d5937a885c6fc9ea5beb43a617e1f9cd	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Rhodococcus_376336	28	402	0	0	0	0	0	0	9	0	0	14	0	0
939871a198c583b335eb5f72e5be3be9	d__Bacteria	0	0	0	0	0	453	0	0	0	0	0	0	0	0
8bed769e555e49f4b957fa85b5dd80ec	d__Bacteria	0	0	451	0	0	0	0	0	0	0	0	0	0	0
0870bed41ac1ea603eebf1c526071328	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Luteibacter; s__Luteibacter sp000745055	0	0	0	0	0	448	0	0	0	0	0	0	0	0
660ec56a470d72aa9f6d2b3bbe3b5e0f	d__Bacteria; p__Bacteroidota; c__UBA10030; o__UBA10030	0	0	0	0	0	0	442	0	0	0	0	0	0	0
f4176df9d9af83bb5fb7599cee87ed84	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	434	0	0	0	0	0	0
fadc5bf48ce911681ba11c9cd1e173ff	d__Bacteria	0	0	0	0	0	0	0	434	0	0	0	0	0	0
34f6acabb17b75e44117eb9c58b53c5c	d__Bacteria	0	0	433	0	0	0	0	0	0	0	0	0	0	0
7d071151e94db70588335c2c3cbc899f	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Eubacteriales; f__Anaerofustaceae; g__Anaerofustis	0	0	0	0	0	432	0	0	0	0	0	0	0	0
ca27b563bcf066731cb700e6d1349b6b	d__Bacteria	0	0	0	0	0	426	0	0	0	0	0	0	0	0
09d0e69ada6e9b9204bec775988ec553	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	420	0	0	0	0	0	0	0	0	0	0	0
aac4dd95d48bc83b5f157a2126d821a2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	418	0	0	0	0	0	0
eedf783fb4707ac0aa440a7696c1ae79	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	417	0	0	0	0	0	0
d7d08ec62f786c29cb177c2ac89b0e49	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	0	0	0	0	0	0	416	0	0	0	0	0	0
8b14c3c7bda81d2f173f0bcf27f1d7ee	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__Micropepsis; s__Micropepsis pineolensis	0	0	0	0	408	0	0	0	0	0	0	0	0	0
b169eb9bb7ace36e641fffed6ba0f2cf	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Azospirillales_507929; f__Azospirillaceae_507917	0	0	0	0	0	407	0	0	0	0	0	0	0	0
e9772f91f7644fbbb3f7a8bd2fbc5cd8	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Ensifer_A_499891; s__Ensifer_A_499891 adhaerens	0	0	0	0	0	404	0	0	0	0	0	0	0	0
fd6c125532be8ef1690356a06dee60da	d__Bacteria	0	0	0	0	0	401	0	0	0	0	0	0	0	0
b8c50e025ac3de2dbca687d59bf72837	d__Bacteria	0	0	400	0	0	0	0	0	0	0	0	0	0	0
00d811aef14f2f7da920983f70922811	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia mucilaginosa	0	0	0	0	0	400	0	0	0	0	0	0	0	0
1be7728d124d64a41cd6f276c094a5ab	d__Bacteria	0	0	0	0	0	395	0	0	0	0	0	0	0	0
ed9debd76b71bdfbda58c259cd59d993	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Nanosyncoccaceae; g__Nanosyncoccus; s__Nanosyncoccus sp007845165	0	0	0	0	0	0	0	391	0	0	0	0	0	0
f500da08b5f923b8b1fa9b2265dbff49	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	389	0	0	0	0	0	0	0	0	0	0	0
d89e2a4119c3f6ad9784fdfcda0613c2	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	387	0	0	0	0	0	0
c08bf19c15485df16b193ffc6bf8f9d3	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	387	0
cc5043a2400d66457a7f92bcb8011332	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerobutyricum; s__Anaerobutyricum hallii	110	0	0	0	0	276	0	0	0	0	0	0	0	0
d4944259e367713c739130b7ab8f59bc	d__Bacteria	0	0	0	0	0	384	0	0	0	0	0	0	0	0
93a0dfed9b2d9fb677d33bafeabb54ad	d__Bacteria	0	0	0	0	0	382	0	0	0	0	0	0	0	0
a25acf2b7ffc02090059593c1e8f732c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	382	0	0	0	0	0	0	0	0
07e9f0a82d10fa1191d49dfb94c7ef7b	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	0	0	0	0	377	0	0	0	0	0	0	0	0
5b7ca6c82c5d69a0657239ca1e542455	d__Bacteria	0	0	0	0	0	257	0	117	0	0	0	0	0	0
d7cc083d86f929780ea047dd4b7818d1	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	374	0
9ca6a708e4fdf31d338a17c0bd08b466	d__Bacteria	0	0	0	0	0	370	0	0	0	0	0	0	0	0
2163d0614b2c249ac4f998ccc670caf8	d__Bacteria	0	0	0	0	0	370	0	0	0	0	0	0	0	0
099ab4d62f8ce274c8b69ffc1083f381	d__Bacteria	37	0	0	0	0	330	0	0	0	0	0	0	0	0
fb33edb6a6b666caa1dcb1cfa7aff095	d__Bacteria	0	0	0	0	0	0	0	367	0	0	0	0	0	0
852da091eb430329b97b2029ee749060	d__Bacteria	0	0	0	0	0	364	0	0	0	0	0	0	0	0
24ddc91f7243c764fe4899c81cc5b999	d__Bacteria	0	0	0	0	0	0	0	364	0	0	0	0	0	0
69302a89780071bd43910ba32cf1f732	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Dermatophilaceae	18	244	0	0	0	0	0	0	0	0	0	97	0	0
98f8982ac614a64db682f5031c385add	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptosporangiales; f__Streptosporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	358
a905683fcef5e4555cf4677d05cfe38a	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae	8	183	0	0	0	0	0	0	0	0	0	166	0	0
fc811a200057edad3d4a74648cf8bbd7	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA2103; g__C7867-001; s__C7867-001 sp900299275	0	0	0	0	0	0	355	0	0	0	0	0	0	0
710e7fb2ee36a8682cff9369a417f9b3	d__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	354	0
89d5f3c8e639da583d4e5b8fa555ff1e	d__Bacteria	0	0	0	0	0	353	0	0	0	0	0	0	0	0
9942a6044ac91895c53e05946e98a460	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0	0	0	0	0	353	0	0	0	0	0	0	0	0
4aa8051aac539df8982a390f18f09678	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae; g__Tautonia; s__Tautonia sociabilis	0	0	0	0	0	0	0	0	0	353	0	0	0	0
72beb4cddb595e6dbe753a902397ac41	d__Bacteria	0	0	0	0	0	0	0	351	0	0	0	0	0	0
657f4b072ebf7e6f1a7bde944ea68456	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Acidobacteriaceae; g__Terriglobus_A; s__Terriglobus_A saanensis	0	0	0	0	350	0	0	0	0	0	0	0	0	0
222e813bbb6a04f3307446988fa562ad	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827	0	0	0	0	0	350	0	0	0	0	0	0	0	0
e05d0be2dffd7576dd0c8a353e5a64c7	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101	0	0	0	0	0	0	0	0	0	349	0	0	0	0
7a66a6c9d2c314b43f8e9de18d1465d1	d__Bacteria	0	0	344	0	0	0	0	0	0	0	0	0	0	0
1794dc045dc257c2ed8258b671794c5a	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Ensifer_A_499891; s__Ensifer_A_499891 adhaerens	0	0	0	0	344	0	0	0	0	0	0	0	0	0
ff1bca53909288388ef2e698c96c8f43	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796; s__Nocardioides_A_392796 sp000364605	0	0	0	0	344	0	0	0	0	0	0	0	0	0
5738b0fedaed97a5d80a107a3530032d	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_N_483429	0	0	0	0	344	0	0	0	0	0	0	0	0	0
31bcaf4440300f41b7fe07b31da76cb6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	342	0	0	0	0	0	0	0	0	0	0	0
1533515e5bd5b0d4fca743c731b5794d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	341	0	0	0	0	0	0	0	0
f980a6b641121d151f02651e7750d62a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	341	0	0	0	0	0	0	0	0
c465aeab502cf6bdfa6479563b929b63	d__Bacteria	0	0	340	0	0	0	0	0	0	0	0	0	0	0
e4ffc700467940525d779f183e5344e7	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae	0	0	0	0	340	0	0	0	0	0	0	0	0	0
474f94c0a266b58488f2b9a70a22e106	d__Bacteria	0	0	0	0	0	339	0	0	0	0	0	0	0	0
dca862d66df827ab0b73bad7eaf7d672	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__JC017; s__JC017 sp004296775	0	0	0	0	0	0	0	339	0	0	0	0	0	0
690be1ff00131f01325ccb2cd5ec933a	d__Bacteria	0	0	0	0	0	338	0	0	0	0	0	0	0	0
